dcateCd,mcateCd,mcateNm,scateCd,scateNm,dcateNm,lcateCd,lcateNm,avgOrderInterval,moreThan1,moreThan2
4104200,2100129,커피/코코아,3100738,캡슐/티백커피,드립백/티백커피,1100021,커피/음료,36.84444444444444,499,60
4100995,2100025,국내도서,3100193,여행/유학/이민,해외여행/기행,1100005,도서/교육/음반,26.333333333333332,349,31
4103487,2100101,보관/밀폐용기,3100623,보관/밀폐용기,플라스틱 밀폐용기,1100019,주방/욕실/생활용품,10.03125,2469,274
4103184,2100093,육아용품,3100558,유모차,유아 트레일러/웨건,1100017,유아동/출산/완구,2.0,37,6
4102611,2100082,과일/견과,3100480,견과류,이외 견과/혼합,1100014,신선식품,25.664864864864864,3012,351
239020504,239020000,스포츠 의류,239020500,등산의류,바람막이,239000000,스포츠패션,7.352941176470588,1415,198
4101238,2100033,카메라/렌즈/액세서리,3100231,드론/헬리캠,드론/헬리캠 배터리,1100006,디지털/휴대폰/카메라,4.0,32,5
4102724,2100080,쌀/잡곡,3100476,슈퍼곡물,이외 슈퍼곡물,1100014,신선식품,28.979166666666668,969,55
4100747,2100014,건강가전,3100153,안마기,핸디형 안마기,1100003,건강/의료용품,8.025641025641026,1141,87
4103380,2100097,자동차/오토바이용품,3100607,차량용 편의 용품,차량용 컵홀더/포켓,1100018,자동차/공구,13.8,579,30
4102741,2100080,쌀/잡곡,3100494,콩/잡곡,조/수수/기장,1100014,신선식품,8.4,163,23
4100552,2100189,생활가전,3100107,로봇 청소기,LG,1100002,가전,16.916666666666668,351,21
4101709,2100051,가방,3100325,캐리어/여행가방,하드캐리어(24인치 이상),1100010,브랜드 신발/잡화,3.0,185,12
4102058,2100063,여성 스포츠/아웃도어 의류,3100384,여성 언더레이어/땀복,언더레이어 세트,1100011,브랜드 의류,5.0,84,6
232050103,232050000,유아동도서,232050100,그림책,창작/생활동화,232000000,도서/교육,35.142857142857146,230,14
4104214,2100130,전통주,3100741,막걸리/소주/과실주,과실주,1100021,커피/음료,10.75,47,5
4105229,2100020,다이어트/보조식품,3100172,다이어트/헬스 보조식품,다이어트면/곤약,1100004,건강식품/다이어트,11.444444444444445,203,17
4104018,2100121,문구/사무용품,3100708,필기도구,연필깎이,1100020,취미/문구/놀이,26.0,543,19
4100493,2100010,대형가전,3100093,김치 냉장고-스탠드형,이외 김치냉장고-스탠드형,1100002,가전,1.2,240,12
4100189,2100006,가구/DIY/시공,3100032,야외 가구,야외 원목/철재 테이블,1100001,가구/침구/인테리어,3.6,114,11
4100585,2100189,생활가전,3100114,전기용품,변압기/어댑터,1100002,가전,13.0,104,3
4104207,2100129,커피/코코아,3100740,커피믹스/코코아,아이스커피믹스,1100021,커피/음료,25.0,44,6
239010202,239010000,스포츠 신발,239010200,구기스포츠화,농구화,239000000,스포츠패션,10.0,18,2
238060506,238060000,자전거/스키,238060500,자전거 부품,자전거 핸들/부품,238000000,스포츠/자동차,2.0,75,2
4102859,2100087,트렌드 여성 언더웨어,3100513,여성 팬티,섹시/T 팬티,1100015,언더웨어,6.0,293,53
4100949,2100023,DVD/음반,3100185,음반,팝/해외음반,1100005,도서/교육/음반,1.0,117,14
4103408,2100098,타이어/부품/정비,3100613,차량용 배터리,점프 스타터/케이블,1100018,자동차/공구,28.0,141,2
4103666,2100108,청소세탁용품,3100647,다리미판,이외 다리미 용품,1100019,주방/욕실/생활용품,51.0,68,2
231040403,231040000,애완용품,231040400,애견용품,애견 미용/목욕용품,231000000,가구/홈/데코,29.04605263157895,21783,3043
4104242,2100132,노트북,3100746,노트북,LG,1100022,컴퓨터/태블릿,8.605622803592347,5747,1484
4100647,2100013,주방가전,3100130,드립커피/커피메이커,이외 커피메이커,1100002,가전,4.909090909090909,564,17
4102638,2100082,과일/견과,3100481,과일,토마토/방울토마토,1100014,신선식품,12.356164383561644,921,84
244010205,244010000,국내브랜드,244010200,남성화,실내화/슬리퍼,244000000,잡화,9.166666666666666,4141,265
238060101,238060000,자전거/스키,238060100,보드/스키,보드스키 안전용품,238000000,스포츠/자동차,11.0,650,48
4100903,2100021,영양제/비타민/건강환,3100178,영양제/건강식품,오메가3,1100004,건강식품/다이어트,23.772357723577237,4446,682
4104801,2100153,여성 스포츠/아웃도어 의류,3100853,여성 스포츠/트레이닝복,요가복,1100024,패션 의류,7.454545454545454,548,75
4102862,2100088,트렌드 잠옷/홈웨어,3100514,남녀공용 잠옷/내의,동물 잠옷,1100015,언더웨어,4.634146341463414,1242,145
4100817,2100017,실버/의료용품,3100165,의약외품/구급함,파스/스프레이파스,1100003,건강/의료용품,22.463414634146343,1225,142
4103256,2100095,공구/설비/자재,3100586,전기용품,산업용 배터리,1100018,자동차/공구,33.793103448275865,1306,152
4100987,2100025,국내도서,3100192,소설/시/희곡,일본 소설,1100005,도서/교육/음반,22.3125,382,70
4103315,2100097,자동차/오토바이용품,3100597,세차/관리 용품,차량용 청소기,1100018,자동차/공구,4.333333333333333,466,16
4101561,2100045,헤어염색/파마/왁스,3100298,헤어스타일링,헤어젤/헤어글레이즈,1100008,바디/헤어,3.25,754,16
4101168,2100029,해외원서,3100216,해외원서,유아/어린이 해외원서,1100005,도서/교육/음반,20.866666666666667,635,223
4104318,2100136,저장장치/USB,3100764,USB/OTG 메모리,64GB 이상,1100022,컴퓨터/태블릿,10.423076923076923,1493,70
4101226,2100033,카메라/렌즈/액세서리,3100229,DSLR 렌즈,니콘,1100006,디지털/휴대폰/카메라,11.91891891891892,86,27
4101858,2100059,캐주얼화,3100354,스니커즈/슬립온,캔버스화,1100010,브랜드 신발/잡화,2.6666666666666665,138,8
4104570,2100147,여성화,3100817,여성 단화,옥스퍼드화,1100023,패션 신발/잡화,8.0,92,5
