,0
572,10.0
573,8.0
574,8.0
575,7.0
576,7.0
577,7.0
578,9.0
579,7.0
580,0.0
581,9.0
582,12.0
583,7.0
584,6.0
585,9.0
586,3.0
587,7.0
588,9.0
589,6.0
590,
591,1.0
592,26.0
593,0.0
594,142.0
595,
596,4.0
597,3.0
598,6.0
599,20.0
600,
601,7.0
602,
603,8.0
604,8.0
605,4.0
606,5.0
607,5.0
608,0.0
609,5.0
610,0.0
611,12.0
612,6.0
613,0.0
614,9.0
615,8.0
616,0.0
617,8.0
618,8.0
619,11.0
620,6.0
621,1.0
622,7.0
623,8.0
624,1.0
625,11.0
626,8.0
627,5.0
628,5.0
629,13.0
630,0.0
631,11.0
632,0.0
633,10.0
634,0.0
635,11.0
636,0.0
637,
638,7.0
639,6.0
640,0.0
641,8.0
642,13.0
643,12.0
644,3.0
645,69.0
646,
647,7.0
648,5.0
649,2.0
650,12.0
651,5.0
652,4.0
653,1.0
654,0.0
655,9.0
656,2.0
657,3.0
658,0.0
659,13.0
660,14.0
661,12.0
662,3.0
663,13.0
664,1.0
665,11.0
666,6.0
667,7.0
668,6.0
669,5.0
670,6.0
671,9.0
672,5.0
673,12.0
674,2.0
675,13.0
676,
677,20.0
678,20.0
679,7.0
680,8.0
681,11.0
682,2.0
683,21.0
684,71.0
685,
686,6.0
687,2.0
688,5.0
689,4.0
690,1.0
691,6.0
692,7.0
693,0.0
694,13.0
695,6.0
696,14.0
697,13.0
698,16.0
699,71.0
700,29.0
701,
702,3.0
703,4.0
704,2.0
705,6.0
706,7.0
707,2.0
708,8.0
709,4.0
710,0.0
711,10.0
712,6.0
713,9.0
714,16.0
715,
716,
717,16.0
718,15.0
719,0.0
720,0.0
721,18.0
722,7.0
723,0.0
724,26.0
725,27.0
726,55.0
727,12.0
728,
729,0.0
730,3.0
731,
732,16.0
733,
734,6.0
735,7.0
736,6.0
737,7.0
738,6.0
739,
740,
741,9.0
742,5.0
743,7.0
744,
745,
746,0.0
747,8.0
748,30.0
749,
750,
751,14.0
752,7.0
753,0.0
754,33.0
755,15.0
756,11.0
757,12.0
758,10.0
759,5.0
760,9.0
761,51.0
762,
763,
764,
765,7.0
766,63.0
767,
768,50.0
769,18.0
770,9.0
771,9.0
772,11.0
773,11.0
774,10.0
775,10.0
776,4.0
777,11.0
778,7.0
779,11.0
780,11.0
781,16.0
782,14.0
783,0.0
784,
785,30.0
786,28.0
787,25.0
788,
789,16.0
790,11.0
791,0.0
792,24.0
793,32.0
794,17.0
795,
796,
797,14.0
798,5.0
799,8.0
800,0.0
801,11.0
802,11.0
803,18.0
804,16.0
805,8.0
806,9.0
807,28.0
808,
809,
810,
811,
812,10.0
813,9.0
814,10.0
815,87.0
816,23.0
817,
818,0.0
819,14.0
820,1.0
821,0.0
822,12.0
823,22.0
824,6.0
825,
826,7.0
827,60.0
828,16.0
829,8.0
830,7.0
831,8.0
832,7.0
833,0.0
834,
835,0.0
836,4.0
837,5.0
838,3.0
839,3.0
840,2.0
841,4.0
842,3.0
843,3.0
844,0.0
845,5.0
846,1.0
847,2.0
848,0.0
849,0.0
850,0.0
851,9.0
852,6.0
853,3.0
854,0.0
855,0.0
856,3.0
857,8.0
858,2.0
859,0.0
860,2.0
861,7.0
862,5.0
863,3.0
864,3.0
865,6.0
866,2.0
867,4.0
868,6.0
869,3.0
870,10.0
871,2.0
872,8.0
873,13.0
874,6.0
875,13.0
876,13.0
877,10.0
878,6.0
879,
880,29.0
881,24.0
882,45.0
883,0.0
884,20.0
885,
886,10.0
887,12.0
888,4.0
889,10.0
890,3.0
891,7.0
892,4.0
893,3.0
894,6.0
895,0.0
896,13.0
897,2.0
898,8.0
899,10.0
900,10.0
901,11.0
902,2.0
903,6.0
904,5.0
905,28.0
906,28.0
907,6.0
908,6.0
909,
910,50.0
911,7.0
