,biz_dt,mid,price,prodNo,dcateCd,dcateNm
306,2018-08-03 01:43:42,11745152,363000,102052939,4101182,Playstation
326,2018-08-03 02:19:33,6744309,363000,102052939,4101182,Playstation
527,2018-08-03 11:28:29,25410022,516000,102589785,4101182,Playstation
850,2018-08-03 16:10:54,4657666,363000,101576275,4101182,Playstation
646,2018-08-03 16:11:20,2842961,516000,101575773,4101182,Playstation
845,2018-08-03 16:54:21,6374066,363000,101576275,4101182,Playstation
310,2018-08-03 17:16:43,3251377,363000,102052939,4101182,Playstation
282,2018-08-03 17:54:23,25412138,515000,102042687,4101182,Playstation
313,2018-08-03 18:51:39,6339443,363000,102052939,4101182,Playstation
314,2018-08-03 19:53:26,2392401,363000,102052939,4101182,Playstation
633,2018-08-03 20:41:21,13163087,516000,101575773,4101182,Playstation
259,2018-08-03 23:28:50,4067008,515000,102042687,4101182,Playstation
283,2018-08-04 01:27:29,1323645,515000,102042687,4101182,Playstation
284,2018-08-04 02:40:14,13432559,515000,102042687,4101182,Playstation
319,2018-08-04 13:05:56,5080048,363000,102052939,4101182,Playstation
557,2018-08-04 15:52:23,4846084,516000,102589785,4101182,Playstation
509,2018-08-04 19:56:05,2922791,516000,102589785,4101182,Playstation
822,2018-08-05 03:54:20,7740681,404000,102590529,4101182,Playstation
308,2018-08-05 21:20:38,14311541,363000,102052939,4101182,Playstation
317,2018-08-06 13:54:17,25424064,363000,102052939,4101182,Playstation
634,2018-08-06 15:11:42,24346651,516000,101575773,4101182,Playstation
620,2018-08-06 18:05:18,1881746,516000,101575773,4101182,Playstation
460,2018-08-06 21:00:18,25434994,402000,102038755,4101182,Playstation
617,2018-08-06 23:20:46,22265005,516000,101575773,4101182,Playstation
450,2018-08-06 23:51:19,15267773,402000,102038755,4101182,Playstation
545,2018-08-07 01:11:50,18569181,516000,102589785,4101182,Playstation
234,2018-08-07 01:47:55,1927489,515000,102042687,4101182,Playstation
532,2018-08-07 01:52:20,25391916,516000,102589785,4101182,Playstation
533,2018-08-07 01:54:00,25437672,516000,102589785,4101182,Playstation
534,2018-08-07 02:00:36,25437672,516000,102589785,4101182,Playstation
547,2018-08-07 02:10:36,6035950,516000,102589785,4101182,Playstation
263,2018-08-07 02:28:59,1759418,515000,102042687,4101182,Playstation
543,2018-08-07 08:39:10,19688131,516000,102589785,4101182,Playstation
510,2018-08-07 09:33:01,6465039,516000,102589785,4101182,Playstation
830,2018-08-07 10:10:12,1550240,404000,102590529,4101182,Playstation
820,2018-08-07 10:32:35,25327711,404000,102590529,4101182,Playstation
285,2018-08-07 11:08:29,25403884,515000,102042687,4101182,Playstation
233,2018-08-07 11:14:54,25405997,515000,102042687,4101182,Playstation
555,2018-08-07 11:21:37,25406084,516000,102589785,4101182,Playstation
535,2018-08-07 11:30:41,25411881,516000,102589785,4101182,Playstation
511,2018-08-07 11:35:45,4392636,516000,102589785,4101182,Playstation
556,2018-08-07 11:42:24,25413575,516000,102589785,4101182,Playstation
512,2018-08-07 12:02:13,25411837,516000,102589785,4101182,Playstation
504,2018-08-07 13:38:30,5120565,516000,102589785,4101182,Playstation
505,2018-08-07 13:51:41,1134501,516000,102589785,4101182,Playstation
506,2018-08-07 14:42:53,5444772,516000,102589785,4101182,Playstation
525,2018-08-07 14:48:49,3726747,516000,102589785,4101182,Playstation
526,2018-08-07 15:03:56,14271374,516000,102589785,4101182,Playstation
552,2018-08-07 16:42:35,25403884,516000,102589785,4101182,Playstation
529,2018-08-07 16:44:09,25405997,516000,102589785,4101182,Playstation
530,2018-08-07 16:48:32,25406084,516000,102589785,4101182,Playstation
537,2018-08-07 16:50:36,25411881,516000,102589785,4101182,Playstation
