,time
802,23.0
803,27.0
806,107.0
807,35.0
808,21.0
811,32.0
814,23.0
815,17.0
816,18.0
817,15.0
820,17.0
821,5.0
822,12.0
823,3.0
824,10.0
826,14.0
827,7.0
828,10.0
832,56.0
833,2.0
834,18.0
835,3.0
836,32.0
837,6.0
838,31.0
842,57.0
843,4.0
844,33.0
845,14.0
847,59.0
849,49.0
850,37.0
851,14.0
852,54.0
853,42.0
855,181.0
856,9.0
859,23.0
860,48.0
861,51.0
863,8.0
864,33.0
865,8.0
866,58.0
867,18.0
868,70.0
870,20.0
872,92.0
874,50.0
875,12.0
878,48.0
879,17.0
880,5.0
881,58.0
882,26.0
884,35.0
886,38.0
887,57.0
888,78.0
890,61.0
891,2.0
892,12.0
894,22.0
896,202.0
898,64.0
899,41.0
900,24.0
901,11.0
903,35.0
905,14.0
907,15.0
911,9.0
912,7.0
913,12.0
914,12.0
915,8.0
916,28.0
917,18.0
918,9.0
919,10.0
920,8.0
921,13.0
922,16.0
923,8.0
924,10.0
925,11.0
926,24.0
929,141.0
930,30.0
932,39.0
935,36.0
936,22.0
938,168.0
939,13.0
944,7.0
945,80.0
946,43.0
947,51.0
948,23.0
951,49.0
952,38.0
953,20.0
954,48.0
955,14.0
956,1.0
957,24.0
960,58.0
961,152.0
964,117.0
965,11.0
966,8.0
970,93.0
971,76.0
973,15.0
974,60.0
975,37.0
977,37.0
978,31.0
980,10.0
981,13.0
982,1.0
984,30.0
985,32.0
986,1.0
987,36.0
988,9.0
989,7.0
990,23.0
991,27.0
994,151.0
996,81.0
997,27.0
998,30.0
999,51.0
1001,58.0
1003,168.0
1006,28.0
1007,64.0
1009,72.0
1010,31.0
1012,32.0
1013,62.0
1015,128.0
1017,105.0
1019,7.0
1020,3.0
1021,8.0
1022,3.0
1023,2.0
1024,4.0
1025,27.0
1026,30.0
1027,3.0
1028,92.0
1030,16.0
1031,14.0
1032,17.0
1033,10.0
1034,11.0
1035,19.0
1036,2.0
1037,11.0
1038,6.0
1039,8.0
1040,8.0
1041,21.0
1042,30.0
1043,7.0
1044,17.0
1046,22.0
1047,85.0
1048,33.0
1049,14.0
1051,45.0
1055,104.0
1056,78.0
1058,36.0
1059,2.0
1061,29.0
1062,152.0
1065,14.0
1066,24.0
1067,9.0
1068,1.0
1069,23.0
1070,17.0
1071,19.0
1072,45.0
1074,5.0
1075,16.0
1076,12.0
1078,21.0
1080,14.0
1081,33.0
1082,1.0
1083,23.0
1084,32.0
1085,91.0
1089,137.0
1092,23.0
1093,36.0
1094,28.0
1095,51.0
1096,31.0
1098,48.0
1099,45.0
1102,60.0
1103,1.0
1104,32.0
1105,33.0
1106,75.0
1112,27.0
1114,36.0
1115,42.0
1116,16.0
1119,13.0
1120,17.0
1121,38.0
1122,24.0
1123,17.0
1126,51.0
1128,88.0
1129,6.0
1130,28.0
1131,29.0
1132,30.0
1133,28.0
1135,27.0
1136,9.0
1137,29.0
1138,88.0
1139,1.0
1145,1.0
1148,2.0
1149,1.0
1151,1.0
1161,1.0
1162,2.0
1163,2.0
1169,17.0
1174,3.0
1184,4.0
1185,2.0
1186,19.0
1187,14.0
1193,14.0
1194,15.0
1195,20.0
1196,13.0
1198,8.0
1199,7.0
1200,5.0
1201,10.0
1202,11.0
1203,21.0
1204,5.0
1205,5.0
1206,11.0
1207,12.0
1208,9.0
1209,10.0
1210,31.0
1211,29.0
1212,17.0
1215,38.0
1216,31.0
1217,23.0
1218,21.0
1219,74.0
1222,72.0
1223,16.0
1224,37.0
1225,25.0
1226,4.0
1227,49.0
1229,109.0
1231,95.0
1233,90.0
1234,20.0
1236,156.0
1237,34.0
1238,5.0
1241,21.0
1242,36.0
1243,28.0
1244,18.0
1246,20.0
1247,21.0
1248,49.0
1249,26.0
1250,22.0
1251,11.0
1252,31.0
1253,9.0
1254,8.0
1256,14.0
1257,80.0
1258,32.0
1259,68.0
1261,181.0
1262,29.0
1267,31.0
1268,18.0
1269,11.0
1270,28.0
1271,18.0
1272,11.0
1273,16.0
1274,14.0
1275,19.0
1278,84.0
1282,147.0
1284,93.0
1285,60.0
1286,1.0
1288,49.0
1291,66.0
1293,75.0
1296,32.0
1297,17.0
1298,17.0
1300,64.0
1301,8.0
1303,95.0
1304,13.0
1308,8.0
1309,11.0
1310,2.0
1311,7.0
1312,1.0
1314,103.0
1315,6.0
1316,11.0
1317,25.0
1318,20.0
1321,31.0
1322,28.0
1323,97.0
1326,84.0
1327,20.0
1328,15.0
1329,26.0
1330,52.0
1332,61.0
1334,128.0
1335,12.0
1336,37.0
1337,28.0
1339,57.0
1340,72.0
1343,41.0
1344,16.0
1345,31.0
1347,23.0
1348,16.0
1349,21.0
1350,20.0
1351,25.0
1353,10.0
1358,12.0
1359,19.0
1360,81.0
1361,66.0
1363,31.0
1364,9.0
1365,28.0
1366,66.0
1367,20.0
1368,28.0
1372,31.0
1373,22.0
1374,15.0
1375,64.0
1376,17.0
1377,25.0
1378,17.0
1379,15.0
1381,66.0
1382,48.0
1383,14.0
1384,6.0
1385,31.0
1387,6.0
1388,91.0
1390,65.0
1391,10.0
1393,104.0
1394,25.0
1395,64.0
1397,32.0
1398,31.0
1399,39.0
1401,42.0
1402,98.0
1403,25.0
1405,8.0
1407,121.0
1410,177.0
1412,66.0
1413,47.0
1416,25.0
1418,34.0
1421,34.0
1422,16.0
1423,44.0
1426,30.0
1427,8.0
1429,18.0
1430,10.0
1431,30.0
1432,35.0
1433,13.0
1434,29.0
1435,21.0
1436,30.0
1439,30.0
1441,26.0
1442,13.0
