,biz_dt,mid,price,prodNo,dcateCd,dcateNm
128,2018-08-07 04:33:22,12319695,99000,102361762,4104294,이외 브랜드
129,2018-08-07 05:32:38,16992724,99000,102361762,4104294,이외 브랜드
809,2018-08-07 08:05:43,4968043,519000,100231090,4104294,이외 브랜드
74,2018-08-07 08:38:08,18412694,99000,102361762,4104294,이외 브랜드
75,2018-08-07 09:10:28,6174994,99000,102361762,4104294,이외 브랜드
488,2018-08-07 09:28:16,3965469,119000,101353159,4104294,이외 브랜드
604,2018-08-07 10:26:30,13392771,319000,101904844,4104294,이외 브랜드
146,2018-08-07 10:31:56,25035656,99000,102361762,4104294,이외 브랜드
157,2018-08-07 10:34:09,8335540,99000,102361762,4104294,이외 브랜드
78,2018-08-07 10:34:20,8815653,99000,102361762,4104294,이외 브랜드
490,2018-08-07 10:36:19,16210058,119000,101353159,4104294,이외 브랜드
79,2018-08-07 10:41:22,21168357,99000,102361762,4104294,이외 브랜드
491,2018-08-07 11:32:01,10533863,399000,100230926,4104294,이외 브랜드
651,2018-08-07 12:15:04,20611037,250000,100538632,4104294,이외 브랜드
86,2018-08-07 12:51:06,7395803,99000,102361762,4104294,이외 브랜드
76,2018-08-07 13:52:40,15694308,99000,102361762,4104294,이외 브랜드
483,2018-08-07 14:03:54,1963124,429000,101891153,4104294,이외 브랜드
724,2018-08-07 14:17:51,3172481,119000,100342428,4104294,이외 브랜드
152,2018-08-07 15:57:34,25152865,99000,102361762,4104294,이외 브랜드
804,2018-08-07 16:03:07,6176893,269000,100877628,4104294,이외 브랜드
153,2018-08-07 16:09:14,25184142,99000,102361762,4104294,이외 브랜드
376,2018-08-07 16:17:44,10046498,359000,100230823,4104294,이외 브랜드
109,2018-08-07 18:29:25,14400220,99000,102361762,4104294,이외 브랜드
130,2018-08-07 18:32:47,17408864,99000,102361762,4104294,이외 브랜드
792,2018-08-07 19:39:31,8994337,249000,100327254,4104294,이외 브랜드
93,2018-08-07 20:02:27,1195475,99000,102361762,4104294,이외 브랜드
353,2018-08-07 20:09:04,3224821,179000,100822147,4104294,이외 브랜드
747,2018-08-07 20:14:37,3083695,179000,101633398,4104294,이외 브랜드
9,2018-08-07 21:40:28,11630530,269000,101890968,4104294,이외 브랜드
120,2018-08-07 22:39:27,11061043,99000,102361762,4104294,이외 브랜드
477,2018-08-07 23:15:07,5317049,359000,101891087,4104294,이외 브랜드
298,2018-08-07 23:48:15,6113659,154900,101577289,4104294,이외 브랜드
299,2018-08-07 23:51:23,6113659,154900,101577289,4104294,이외 브랜드
103,2018-08-08 00:21:02,1708352,99000,102361762,4104294,이외 브랜드
793,2018-08-08 01:22:27,25261179,249000,100327254,4104294,이외 브랜드
85,2018-08-08 06:16:50,16987138,99000,102361762,4104294,이외 브랜드
110,2018-08-08 08:45:38,25449716,99000,102361762,4104294,이외 브랜드
111,2018-08-08 08:53:50,3888005,99000,102361762,4104294,이외 브랜드
80,2018-08-08 09:53:40,5032100,99000,102361762,4104294,이외 브랜드
88,2018-08-08 10:20:11,15855175,99000,102361762,4104294,이외 브랜드
89,2018-08-08 10:30:22,3914781,99000,102361762,4104294,이외 브랜드
116,2018-08-08 11:42:15,17430070,99000,102361762,4104294,이외 브랜드
599,2018-08-08 12:07:16,3610421,239000,100445247,4104294,이외 브랜드
141,2018-08-08 12:19:46,2818420,99000,102361762,4104294,이외 브랜드
117,2018-08-08 12:26:32,23390636,99000,102361762,4104294,이외 브랜드
572,2018-08-08 12:33:14,25452016,139000,100043276,4104294,이외 브랜드
118,2018-08-08 12:53:14,3392360,99000,102361762,4104294,이외 브랜드
142,2018-08-08 13:29:03,18839248,99000,102361762,4104294,이외 브랜드
143,2018-08-08 13:34:44,22831400,99000,102361762,4104294,이외 브랜드
151,2018-08-08 14:03:43,21387373,99000,102361762,4104294,이외 브랜드
664,2018-08-08 14:35:11,9135536,269000,100480882,4104294,이외 브랜드
124,2018-08-08 14:57:24,19025189,99000,102361762,4104294,이외 브랜드
713,2018-08-08 15:30:34,6245971,299000,100450445,4104294,이외 브랜드
650,2018-08-08 16:52:54,20611037,250000,100538632,4104294,이외 브랜드
15,2018-08-08 18:44:00,5567690,169000,100227779,4104294,이외 브랜드
126,2018-08-08 18:47:45,1839276,99000,102361762,4104294,이외 브랜드
571,2018-08-08 20:06:32,3643634,159900,101576167,4104294,이외 브랜드
352,2018-08-08 20:56:53,8271182,179000,100822147,4104294,이외 브랜드
121,2018-08-08 21:02:57,1728664,99000,102361762,4104294,이외 브랜드
122,2018-08-08 22:22:30,5834638,99000,102361762,4104294,이외 브랜드
154,2018-08-08 23:34:46,25455218,99000,102361762,4104294,이외 브랜드
727,2018-08-08 23:51:16,3472423,139000,100822031,4104294,이외 브랜드
785,2018-08-09 00:21:11,23484913,249000,101906680,4104294,이외 브랜드
81,2018-08-09 00:29:32,21720874,99000,102361762,4104294,이외 브랜드
689,2018-08-09 00:33:42,4531126,114000,100077174,4104294,이외 브랜드
112,2018-08-09 09:45:53,15694308,99000,102361762,4104294,이외 브랜드
167,2018-08-09 11:09:11,20007695,111000,100189966,4104294,이외 브랜드
94,2018-08-09 11:35:36,1826743,99000,102361762,4104294,이외 브랜드
744,2018-08-09 13:02:23,22802597,189000,100227960,4104294,이외 브랜드
810,2018-08-09 13:13:58,5969663,499000,100231090,4104294,이외 브랜드
147,2018-08-09 14:41:13,8519848,99000,102361762,4104294,이외 브랜드
699,2018-08-09 14:46:05,4899807,189000,101633064,4104294,이외 브랜드
437,2018-08-09 15:19:06,22074730,190000,101158787,4104294,이외 브랜드
700,2018-08-09 15:57:10,21258113,189000,101633064,4104294,이외 브랜드
138,2018-08-09 15:58:46,3914781,99000,102361762,4104294,이외 브랜드
703,2018-08-09 16:01:52,21258113,189000,101633064,4104294,이외 브랜드
139,2018-08-09 16:12:33,22061334,99000,102361762,4104294,이외 브랜드
340,2018-08-09 17:59:13,4295807,79000,100189893,4104294,이외 브랜드
131,2018-08-09 18:14:56,4030216,99000,102361762,4104294,이외 브랜드
104,2018-08-09 18:18:51,20171832,99000,102361762,4104294,이외 브랜드
666,2018-08-09 18:28:53,11255685,189000,101619972,4104294,이외 브랜드
160,2018-08-09 19:40:05,7330328,99000,102361762,4104294,이외 브랜드
96,2018-08-09 21:02:54,18348118,99000,102361762,4104294,이외 브랜드
123,2018-08-09 21:36:38,22899381,99000,102361762,4104294,이외 브랜드
195,2018-08-09 23:10:39,2521811,75900,101330033,4104294,이외 브랜드
133,2018-08-09 23:41:44,25467870,99000,102361762,4104294,이외 브랜드
350,2018-08-10 00:37:13,6042603,179000,100822147,4104294,이외 브랜드
594,2018-08-10 02:28:48,2728302,239000,100445247,4104294,이외 브랜드
113,2018-08-10 02:37:38,25468673,99000,102361762,4104294,이외 브랜드
119,2018-08-10 10:06:32,11941435,99000,102361762,4104294,이외 브랜드
114,2018-08-10 10:43:04,22285272,99000,102361762,4104294,이외 브랜드
115,2018-08-10 10:45:58,14950307,99000,102361762,4104294,이외 브랜드
436,2018-08-10 11:31:26,20195094,209000,101126062,4104294,이외 브랜드
14,2018-08-10 12:11:47,25455823,379000,100134339,4104294,이외 브랜드
155,2018-08-10 12:51:55,21883738,99000,102361762,4104294,이외 브랜드
302,2018-08-10 13:23:04,3059969,189000,101177415,4104294,이외 브랜드
649,2018-08-10 14:15:48,25227953,250000,100538632,4104294,이외 브랜드
90,2018-08-10 14:40:01,8052115,99000,102361762,4104294,이외 브랜드
181,2018-08-10 14:44:14,23331634,155900,100043321,4104294,이외 브랜드
417,2018-08-10 15:15:31,14807232,134900,100043331,4104294,이외 브랜드
742,2018-08-10 15:16:39,2448943,189000,100227960,4104294,이외 브랜드
140,2018-08-10 15:31:50,13026957,99000,102361762,4104294,이외 브랜드
566,2018-08-10 16:53:36,25472643,213000,100566795,4104294,이외 브랜드
750,2018-08-10 17:10:12,20348951,629000,100229504,4104294,이외 브랜드
92,2018-08-10 18:46:09,9888850,99000,102361762,4104294,이외 브랜드
127,2018-08-10 18:57:20,13285734,99000,102361762,4104294,이외 브랜드
158,2018-08-10 22:05:07,24523413,99000,102361762,4104294,이외 브랜드
148,2018-08-11 00:30:03,25436720,99000,102361762,4104294,이외 브랜드
82,2018-08-11 10:24:43,1802429,99000,102361762,4104294,이외 브랜드
177,2018-08-11 10:50:44,2910708,159000,100227752,4104294,이외 브랜드
790,2018-08-11 11:12:13,12846497,249000,100327254,4104294,이외 브랜드
743,2018-08-11 11:19:59,23787945,189000,100227960,4104294,이외 브랜드
685,2018-08-11 12:10:13,12479969,239000,101902444,4104294,이외 브랜드
438,2018-08-11 12:32:43,12174541,190000,101158787,4104294,이외 브랜드
751,2018-08-11 13:08:30,20348951,629000,100229504,4104294,이외 브랜드
679,2018-08-11 14:48:03,12705644,409000,100351374,4104294,이외 브랜드
161,2018-08-11 15:35:45,14570613,99000,102361762,4104294,이외 브랜드
144,2018-08-11 15:56:59,15335505,99000,102361762,4104294,이외 브랜드
351,2018-08-11 16:25:17,11534592,179000,100822147,4104294,이외 브랜드
132,2018-08-11 18:16:44,3610184,99000,102361762,4104294,이외 브랜드
83,2018-08-11 18:37:19,24417133,99000,102361762,4104294,이외 브랜드
134,2018-08-11 20:01:54,16334126,99000,102361762,4104294,이외 브랜드
852,2018-08-11 20:31:15,10392337,159000,100821926,4104294,이외 브랜드
731,2018-08-11 21:29:05,7762324,289000,100275620,4104294,이외 브랜드
135,2018-08-12 10:14:07,23160984,99000,102361762,4104294,이외 브랜드
105,2018-08-12 14:17:50,23160984,99000,102361762,4104294,이외 브랜드
588,2018-08-12 15:04:54,15366836,110900,100101578,4104294,이외 브랜드
145,2018-08-12 15:51:58,11268219,99000,102361762,4104294,이외 브랜드
368,2018-08-12 17:45:13,25484996,359000,100230823,4104294,이외 브랜드
786,2018-08-12 18:34:03,23511462,219000,100364713,4104294,이외 브랜드
304,2018-08-12 20:06:13,10587242,189000,101177415,4104294,이외 브랜드
677,2018-08-12 21:13:06,25485573,409000,100351374,4104294,이외 브랜드
680,2018-08-12 21:46:49,22529362,409000,100351374,4104294,이외 브랜드
763,2018-08-12 21:52:33,25486691,479000,100231628,4104294,이외 브랜드
156,2018-08-12 22:02:33,12144342,99000,102361762,4104294,이외 브랜드
741,2018-08-12 22:44:14,13080832,189000,100227960,4104294,이외 브랜드
595,2018-08-12 23:51:57,6065013,239000,100445247,4104294,이외 브랜드
