mid,,biz_dt
11980620,1,0 days 00:00:00.000000000
12578798,1,0 days 00:00:00.000000000
12584239,1,0 days 00:00:00.000000000
12933637,1,0 days 00:00:00.000000000
13063061,1,1 days 00:00:00.000000000
13063164,1,1 days 00:00:00.000000000
13858432,1,1 days 00:00:00.000000000
15173167,1,27 days 00:00:00.000000000
15173167,2,36 days 00:00:00.000000000
15173167,3,2 days 00:00:00.000000000
15328403,1,0 days 00:00:00.000000000
15371258,1,36 days 00:00:00.000000000
15423146,1,0 days 00:00:00.000000000
15713932,1,0 days 00:00:00.000000000
16396223,1,0 days 00:00:00.000000000
16396223,2,0 days 00:00:00.000000000
16396223,3,0 days 00:00:00.000000000
16846491,1,0 days 00:00:00.000000000
16930255,1,0 days 00:00:00.000000000
17513967,1,0 days 00:00:00.000000000
17513967,2,2 days 00:00:00.000000000
18052417,1,29 days 00:00:00.000000000
18052417,2,1 days 00:00:00.000000000
18052417,3,1 days 00:00:00.000000000
18052417,4,5 days 00:00:00.000000000
18052417,5,2 days 00:00:00.000000000
18236321,1,1 days 00:00:00.000000000
18449407,1,0 days 00:00:00.000000000
19805580,1,0 days 00:00:00.000000000
20355314,1,0 days 00:00:00.000000000
20573409,1,0 days 00:00:00.000000000
21207591,1,1 days 00:00:00.000000000
21207591,2,1 days 00:00:00.000000000
21471180,1,0 days 00:00:00.000000000
21471180,2,0 days 00:00:00.000000000
21498441,1,0 days 00:00:00.000000000
21498441,2,0 days 00:00:00.000000000
22597279,1,1 days 00:00:00.000000000
22869741,1,0 days 00:00:00.000000000
22869741,2,0 days 00:00:00.000000000
22900822,1,0 days 00:00:00.000000000
22900822,2,0 days 00:00:00.000000000
22900822,3,0 days 00:00:00.000000000
23157736,1,13 days 00:00:00.000000000
23157736,2,2 days 00:00:00.000000000
23157736,3,1 days 00:00:00.000000000
23157736,4,31 days 00:00:00.000000000
23157736,5,0 days 00:00:00.000000000
23157736,6,5 days 00:00:00.000000000
23367482,1,35 days 00:00:00.000000000
23504248,1,29 days 00:00:00.000000000
23613953,1,0 days 00:00:00.000000000
23625843,1,2 days 00:00:00.000000000
23825949,1,11 days 00:00:00.000000000
23825949,2,25 days 00:00:00.000000000
23825949,3,4 days 00:00:00.000000000
23825949,4,1 days 00:00:00.000000000
23825949,5,6 days 00:00:00.000000000
24032887,1,0 days 00:00:00.000000000
24046742,1,1 days 00:00:00.000000000
24055979,1,21 days 00:00:00.000000000
24055979,2,13 days 00:00:00.000000000
24056250,1,34 days 00:00:00.000000000
24116062,1,0 days 00:00:00.000000000
24245721,1,50 days 00:00:00.000000000
24254486,1,1 days 00:00:00.000000000
24254486,2,41 days 00:00:00.000000000
24570470,1,1 days 00:00:00.000000000
25124997,1,0 days 00:00:00.000000000
25241883,1,0 days 00:00:00.000000000
25327711,1,6 days 00:00:00.000000000
25327711,2,10 days 00:00:00.000000000
25327711,3,5 days 00:00:00.000000000
25327711,4,40 days 00:00:00.000000000
25327711,5,25 days 00:00:00.000000000
25327711,6,0 days 00:00:00.000000000
25391916,1,5 days 00:00:00.000000000
25391933,1,0 days 00:00:00.000000000
25403884,1,0 days 00:00:00.000000000
25403884,2,1 days 00:00:00.000000000
25403884,3,0 days 00:00:00.000000000
25403884,4,70 days 00:00:00.000000000
25403884,5,1 days 00:00:00.000000000
25405997,1,0 days 00:00:00.000000000
25405997,2,1 days 00:00:00.000000000
25405997,3,0 days 00:00:00.000000000
25405997,4,71 days 00:00:00.000000000
25406084,1,0 days 00:00:00.000000000
25406084,2,1 days 00:00:00.000000000
25406084,3,0 days 00:00:00.000000000
25411837,1,1 days 00:00:00.000000000
25411837,2,0 days 00:00:00.000000000
25411881,1,0 days 00:00:00.000000000
25411881,2,1 days 00:00:00.000000000
25411881,3,0 days 00:00:00.000000000
25413575,1,0 days 00:00:00.000000000
25413575,2,1 days 00:00:00.000000000
25413575,3,0 days 00:00:00.000000000
25437672,1,0 days 00:00:00.000000000
25484646,1,1 days 00:00:00.000000000
25617374,1,1 days 00:00:00.000000000
25623531,1,1 days 00:00:00.000000000
25630819,1,1 days 00:00:00.000000000
25631901,1,1 days 00:00:00.000000000
25631923,1,1 days 00:00:00.000000000
25631933,1,1 days 00:00:00.000000000
25631945,1,1 days 00:00:00.000000000
25631955,1,1 days 00:00:00.000000000
25631967,1,1 days 00:00:00.000000000
25631975,1,1 days 00:00:00.000000000
25631981,1,1 days 00:00:00.000000000
25639271,1,0 days 00:00:00.000000000
25660980,1,0 days 00:00:00.000000000
25703323,1,0 days 00:00:00.000000000
25743466,1,5 days 00:00:00.000000000
25829980,1,2 days 00:00:00.000000000
25845230,1,0 days 00:00:00.000000000
25845424,1,0 days 00:00:00.000000000
25907340,1,13 days 00:00:00.000000000
25911028,1,1 days 00:00:00.000000000
25927681,1,1 days 00:00:00.000000000
25927681,2,5 days 00:00:00.000000000
25942151,1,0 days 00:00:00.000000000
25942151,2,1 days 00:00:00.000000000
25951761,1,0 days 00:00:00.000000000
25951761,2,1 days 00:00:00.000000000
25951761,3,1 days 00:00:00.000000000
