mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
3582517,4100949,3100185,2100023,1100005,4,1,1.0,1,Infinity,Infinity,NaN,NaN,0.24,NaN
3585204,4103383,3100608,2100097,1100018,2,3,3.0,3,Infinity,Infinity,NaN,NaN,0.05555555555555555,NaN
3587596,4100209,3100035,2100006,1100001,2,6,6.0,6,Infinity,Infinity,NaN,NaN,0.05660377358490566,NaN
3589095,4101804,3100344,2100056,1100010,2,3,3.0,3,Infinity,Infinity,NaN,NaN,0.09090909090909091,NaN
3604531,4102290,3100418,2100070,1100013,2,2,2.0,2,Infinity,Infinity,NaN,NaN,0.08411214953271028,NaN
