mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
16261494,4102894,3100520,2100089,1100016,2,2,2.0,2,Infinity,Infinity,NaN,NaN,0.25,NaN
1627222,4104118,3100726,2100125,1100020,5,13,13.0,13,Infinity,Infinity,NaN,NaN,0.038461538461538464,NaN
16318325,232061403,232061400,232060000,232000000,4,4,4.0,4,Infinity,Infinity,NaN,NaN,0.036036036036036036,NaN
16351114,4100723,3100149,2100013,1100002,2,3,3.0,3,Infinity,Infinity,NaN,NaN,,
16384984,4101845,3100351,2100058,1100010,2,3,3.0,3,Infinity,Infinity,NaN,NaN,0.05333333333333334,NaN
