mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
6384713,4101899,3100360,2100060,1100010,2,11,11.0,11,Infinity,Infinity,NaN,NaN,0.05,NaN
6404455,4101390,3100266,2100037,1100007,2,37,37.0,37,Infinity,Infinity,NaN,NaN,0.05333333333333334,NaN
6416239,4101000,3100194,2100025,1100005,2,53,53.0,53,Infinity,Infinity,NaN,NaN,0.15789473684210525,NaN
6446517,4100883,3100175,2100021,1100004,2,41,41.0,41,Infinity,Infinity,NaN,NaN,0.10526315789473684,NaN
6453868,4100970,3100190,2100025,1100005,3,1,1.0,1,Infinity,Infinity,NaN,NaN,0.1,NaN
