,mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
4,11391578,4101644,3100312,2100048,1100009,2,2,2.0,2,Infinity,Infinity,,,0.13333333333333333,
0,11446742,4100977,3100191,2100025,1100005,2,3,3.0,3,Infinity,Infinity,,,0.2777777777777778,
1,11494385,4100227,3100039,2100006,1100001,19,1,1.0,1,Infinity,Infinity,,,0.11851851851851852,
2,1149861,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
3,11519248,4102899,3100521,2100089,1100016,2,1,1.0,1,Infinity,Infinity,,,0.051020408163265314,
4,1156482,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
0,11580409,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
1,11587394,4101898,3100360,2100060,1100010,4,1,1.0,1,Infinity,Infinity,,,0.02654867256637168,
2,1161518,4105679,3100709,2100121,1100020,2,2,2.0,2,Infinity,Infinity,,,0.1097560975609756,
3,11625681,4100500,3100095,2100010,1100002,2,11,11.0,11,Infinity,Infinity,,,0.04733727810650888,
4,11641733,4105116,3100902,2100169,1100027,2,5,5.0,5,Infinity,Infinity,,,0.04065040650406504,
0,11677122,4104329,3100767,2100136,1100022,2,1,1.0,1,Infinity,Infinity,,,0.05555555555555555,
1,11722125,4105111,3100902,2100169,1100027,3,13,13.0,13,Infinity,Infinity,,,0.06598984771573604,
2,11727105,4105238,3100184,2100023,1100005,2,2,2.0,2,Infinity,Infinity,,,0.08771929824561403,
3,11751650,4103185,3100575,2100095,1100018,2,1,1.0,1,Infinity,Infinity,,,0.10526315789473684,
0,1178749,4104535,3100812,2100146,1100023,3,2,2.0,2,Infinity,Infinity,,,0.3333333333333333,
1,11820650,4100044,3100007,2100002,1100000,2,95,95.0,95,Infinity,Infinity,,,0.030769230769230767,
2,11826898,4101907,3100361,2100060,1100010,2,2,2.0,2,Infinity,Infinity,,,0.06896551724137931,
3,11905817,4101669,3100317,2100049,1100009,2,5,5.0,5,Infinity,Infinity,,,0.01932367149758454,
4,11906511,4102191,3100400,2100066,1100012,2,1,1.0,1,Infinity,Infinity,,,0.08333333333333333,
0,1194098,4101018,3100196,2100025,1100005,2,1,1.0,1,Infinity,Infinity,,,0.12658227848101267,
1,11983308,4101139,3100213,2100028,1100005,2,1,1.0,1,Infinity,Infinity,,,0.125,
2,11985017,4102550,3100469,2100077,1100013,2,1,1.0,1,Infinity,Infinity,,,0.11057692307692307,
3,11995772,4103566,3100635,2100104,1100019,2,3,3.0,3,Infinity,Infinity,,,0.01984126984126984,
4,12012124,4105358,3100969,2100180,1100005,4,2,2.0,2,Infinity,Infinity,,,0.09090909090909093,
0,1202046,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
1,12070080,235020403,235020400,235020000,235000000,2,7,7.0,7,Infinity,Infinity,,,0.07001321003963012,
2,1208135,4101256,3100234,2100033,1100006,2,18,18.0,18,Infinity,Infinity,,,0.1875,
3,12087010,4102228,3100406,2100068,1100013,2,2,2.0,2,Infinity,Infinity,,,0.2222222222222222,
