mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
2854035,4104250,3100747,2100133,1100022,2,5,5.0,5,Infinity,Infinity,NaN,NaN,0.04597701149425287,NaN
2883071,4103133,3100565,2100093,1100017,2,6,6.0,6,Infinity,Infinity,NaN,NaN,0.009009009009009009,NaN
2883361,4100199,3100020,2100006,1100001,2,11,11.0,11,Infinity,Infinity,NaN,NaN,0.0660377358490566,NaN
2923396,4102160,3100396,2100065,1100011,2,32,32.0,32,Infinity,Infinity,NaN,NaN,0.25,NaN
2929317,4103758,3100927,2100185,1100017,2,7,7.0,7,Infinity,Infinity,NaN,NaN,0.07272727272727272,NaN
