mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
19752488,4101976,3100373,2100062,1100011,2,2,2.0,2,Infinity,Infinity,NaN,NaN,0.17073170731707318,NaN
19784007,4103143,3100567,2100093,1100017,2,2,2.0,2,Infinity,Infinity,NaN,NaN,0.11702127659574468,NaN
19784007,4103137,3100566,2100093,1100017,2,2,2.0,2,Infinity,Infinity,NaN,NaN,0.048582995951417005,NaN
1984083,4103901,3100689,2100120,1100020,6,2,2.0,2,Infinity,Infinity,NaN,NaN,0.07142857142857142,NaN
19871227,4101137,3100213,2100028,1100005,2,2,2.0,2,Infinity,Infinity,NaN,NaN,0.13592233009708737,NaN
