mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
18466897,4105738,3101052,2100201,1100034,3,1,1.0,1,Infinity,Infinity,NaN,NaN,,
18498424,4103993,3100704,2100121,1100020,2,30,30.0,30,Infinity,Infinity,NaN,NaN,0.1557377049180328,NaN
18508298,4103167,3100571,2100094,1100017,2,10,10.0,10,Infinity,Infinity,NaN,NaN,0.17261904761904762,NaN
18511093,4100562,3100109,2100189,1100002,8,1,1.0,1,Infinity,Infinity,NaN,NaN,0.03125,NaN
18511093,4100563,3100109,2100189,1100002,8,1,1.0,1,Infinity,Infinity,NaN,NaN,0.17105263157894737,NaN
