mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
11112090,4103359,3100604,2100097,1100018,2,3,3.0,3,Infinity,Infinity,NaN,NaN,0.09090909090909091,NaN
11163634,4102944,3100529,2100090,1100016,2,4,4.0,4,Infinity,Infinity,NaN,NaN,0.13333333333333333,NaN
1118635,4105373,3100970,2100180,1100005,4,26,26.0,26,Infinity,Infinity,NaN,NaN,0.2631578947368421,NaN
1121947,4103089,3100558,2100093,1100017,2,1,1.0,1,Infinity,Infinity,NaN,NaN,0.1111111111111111,NaN
1123623,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,NaN,NaN,,
