mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
15544036,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,NaN,NaN,,
15571139,4100394,3100069,2100009,1100002,2,2,2.0,2,Infinity,Infinity,NaN,NaN,1.0,NaN
1558202,4103908,3100690,2100120,1100020,2,48,48.0,48,Infinity,Infinity,NaN,NaN,0.04395604395604396,NaN
1564381,4103537,3100631,2100103,1100019,2,9,9.0,9,Infinity,Infinity,NaN,NaN,0.03508771929824561,NaN
