mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
16616924,4101454,3100276,2100041,1100007,2,26,26.0,26,Infinity,Infinity,NaN,NaN,0.03305785123966942,NaN
16682033,4105111,3100902,2100169,1100027,2,13,13.0,13,Infinity,Infinity,NaN,NaN,0.06598984771573604,NaN
16803637,4104555,3100814,2100146,1100023,2,3,3.0,3,Infinity,Infinity,NaN,NaN,0.02631578947368421,NaN
16804860,4101825,3100348,2100057,1100010,2,8,8.0,8,Infinity,Infinity,NaN,NaN,0.06593406593406594,NaN
16874925,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,NaN,NaN,,
