mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
5111930,4104599,3100822,2100148,1100023,2,3,3.0,3,Infinity,Infinity,NaN,NaN,0.12280701754385964,NaN
5130618,4102648,3100483,2100082,1100014,35,2,1.0,1,Infinity,Infinity,NaN,NaN,0.30303030303030304,NaN
5156760,4103419,3100615,2100098,1100018,2,21,21.0,21,Infinity,Infinity,NaN,NaN,0.0784313725490196,NaN
5168288,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,NaN,NaN,,
5180627,4100981,3100191,2100025,1100005,5,31,31.0,31,Infinity,Infinity,NaN,NaN,0.45794392523364486,NaN
