mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
13857529,4101674,3100319,2100049,1100009,3,1,1.0,1,Infinity,Infinity,NaN,NaN,0.025477707006369428,NaN
13924528,4103937,3100694,2100120,1100020,2,3,3.0,3,Infinity,Infinity,NaN,NaN,0.03571428571428571,NaN
1393591,4102080,3100387,2100064,1100011,2,4,4.0,4,Infinity,Infinity,NaN,NaN,0.0625,NaN
13943014,4104519,3100810,2100146,1100023,3,6,6.0,6,Infinity,Infinity,NaN,NaN,0.16129032258064516,NaN
13971886,4102980,3100533,2100090,1100016,2,1,1.0,1,Infinity,Infinity,NaN,NaN,0.07142857142857142,NaN
