,index,dcateCd,rcp_diff,rcp_x,rcp_y,totalOrderUserCnt_x,totalOrderUserCnt_y
0,98,232010112,0.54880296694456,0.118131868131868,0.666934835076428,728.0,2486
1,568,233090606,0.43288135593220306,0.04,0.47288135593220304,50.0,590
2,124,232040102,0.371951219512195,0.0,0.371951219512195,24.0,164
3,146,232050207,0.34955185659411003,0.014084507042253001,0.36363636363636304,71.0,330
4,564,233090602,0.34048388676657804,0.253012048192771,0.593495934959349,166.0,984
5,97,232010111,0.30827067669172903,0.0,0.30827067669172903,3.0,133
6,765,236010101,0.30590249073745,0.157460201614742,0.463362692352192,43846.0,553152
7,158,232050701,0.297154677473827,0.013888888888888002,0.311043566362715,72.0,987
8,196,232060501,0.255813953488372,0.0,0.255813953488372,2.0,43
9,104,232010208,0.24,0.0,0.24,25.0,150
10,135,232040201,0.23758519961051602,0.0,0.23758519961051602,17.0,1027
11,94,232010108,0.22525013751988504,0.047619047619047006,0.27286918513893205,84.0,3203
12,323,232070503,0.21078431372549003,0.0,0.21078431372549003,29.0,1020
13,567,233090605,0.20789501312335998,0.16010498687664002,0.368,381.0,1125
14,129,232040107,0.19551466359977002,0.081081081081081,0.276595744680851,37.0,94
15,318,232070407,0.19178082191780801,0.0,0.19178082191780801,3.0,146
16,563,233090601,0.190298661192103,0.21439509954058103,0.40469376073268404,653.0,1747
17,305,232070103,0.18377455877455903,0.025641025641025002,0.20941558441558403,78.0,616
18,168,232050905,0.175193967435633,0.065849923430321,0.241043890865954,653.0,4215
19,157,232050601,0.171926910299003,0.0,0.171926910299003,35.0,1204
20,280,232063108,0.169246646026832,0.058823529411764004,0.228070175438596,17.0,57
21,1373,242030214,0.16795382728199099,0.09135545305758001,0.259309280339571,6721.0,36281
22,247,232062202,0.16666666666666602,0.0,0.16666666666666602,2.0,24
23,145,232050206,0.148823401004148,0.033398821218074005,0.182222222222222,509.0,2475
24,150,232050304,0.14459987702037902,0.015625,0.16022487702037902,64.0,1423
25,683,235010110,0.139370852862299,0.09526112185686601,0.23463197471916503,2068.0,43353
26,131,232040109,0.13906765907437504,0.164670658682634,0.30373831775700905,334.0,856
27,105,232010209,0.137142857142857,0.0,0.137142857142857,5.0,175
28,381,233010501,0.13683825724519702,0.068214571657325,0.20505282890252202,6245.0,46944
29,1039,238070309,0.13434313805207404,0.065444510151783,0.19978764820385703,5073.0,11302
30,127,232040105,0.133333333333333,0.0,0.133333333333333,11.0,15
31,505,233070105,0.12851782363977401,0.0,0.12851782363977401,10.0,1066
32,432,233030301,0.125926679652295,0.059322033898305,0.18524871355060002,354.0,1749
33,253,232062208,0.125731661754328,0.07110091743119201,0.19683257918552002,436.0,1326
34,250,232062205,0.125,0.0,0.125,3.0,136
35,342,232070904,0.12121212121212101,0.0,0.12121212121212101,2.0,198
36,352,232071206,0.11999602878989699,0.12653884964682102,0.246534878436718,4955.0,8802
37,1262,240030603,0.11499816113967802,0.103305785123966,0.21830394626364402,1694.0,4764
38,154,232050501,0.112676056338028,0.0,0.112676056338028,30.0,71
39,320,232070411,0.11055276381909501,0.0,0.11055276381909501,1.0,199
40,476,233050114,0.10985178792782901,0.09507609668755501,0.20492788461538403,5585.0,8320
41,341,232070903,0.10869565217391301,0.0,0.10869565217391301,4.0,276
42,304,232070102,0.10817158385093102,0.08437499999999999,0.192546583850931,320.0,805
43,203,232060703,0.10774713356058302,0.07142857142857101,0.17917570498915403,574.0,2305
44,1091,239020302,0.10709848506148602,0.11118519753292201,0.21828368259440803,23996.0,37126
45,403,233020120,0.10548885077187001,0.045454545454545005,0.150943396226415,22.0,106
46,317,232070406,0.105263157894736,0.0,0.105263157894736,1.0,57
47,1277,240040402,0.10412361069788001,0.16923437866583202,0.27335798936371203,25574.0,37043
48,296,232063901,0.102682263972587,0.07142857142857101,0.17411083540115802,112.0,2418
49,52,231040203,0.10222697329916701,0.056112224448897005,0.15833919774806401,499.0,1421
50,344,232070906,0.10180180180180201,0.033333333333333,0.135135135135135,30.0,259
51,348,232071102,0.101483050847457,0.05,0.151483050847457,120.0,944
52,268,232062802,0.10125640204865599,0.04090909090909,0.142165492957746,220.0,2272
53,204,232060801,0.09977116832057502,0.100972326103216,0.20074349442379102,1337.0,4304
54,198,232060602,0.09968171296296299,0.037037037037037,0.13671875,54.0,256
55,152,232050401,0.098476123712716,0.058201058201058004,0.156677181913774,189.0,951
56,262,232062602,0.096638655462184,0.0,0.096638655462184,13.0,476
57,230,232061603,0.09640035118525,0.058823529411764004,0.155223880597014,102.0,335
58,293,232063702,0.09590517241379301,0.0,0.09590517241379301,23.0,928
59,553,233090310,0.09524201288907103,0.053475935828877004,0.14871794871794802,187.0,390
60,159,232050702,0.09458170355333301,0.007017543859649001,0.10159924741298201,285.0,1063
61,1021,238070105,0.092498162699983,0.11156462585034001,0.204062788550323,735.0,1083
62,1001,238060102,0.092074974474456,0.06225165562913901,0.154326630103595,1510.0,6564
63,102,232010205,0.09176156228148999,0.053191489361702,0.144953051643192,94.0,1704
64,315,232070401,0.090225563909774,0.0,0.090225563909774,2.0,133
65,421,233030102,0.09006560854731001,0.10491071428571401,0.19497632283302402,448.0,29142
66,347,232071101,0.08865297642423701,0.11917098445595802,0.20782396088019503,386.0,1227
67,1371,242030212,0.088639878842559,0.069915254237288,0.158555133079847,944.0,2630
68,153,232050402,0.087135176651306,0.07738095238095201,0.164516129032258,168.0,620
69,319,232070408,0.08641975308641901,0.0,0.08641975308641901,1.0,81
70,316,232070402,0.08415841584158401,0.0,0.08415841584158401,14.0,202
