did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
2545857,789050173,9910016,233090602,233090600,233090000,233000000
2545857,753543105,5962868,233090602,233090600,233090000,233000000
2545857,747888657,8029414,233090602,233090600,233090000,233000000
2545857,690308227,20673610,233090602,233090600,233090000,233000000
2545857,732044987,20781480,233090602,233090600,233090000,233000000
100494669,3576023,9615840,4105198,3100210,2100028,1100005
104580340,3929397,21599539,4105524,3100945,2100182,1100005
107931986,4672167,16535562,4104705,3100840,2100152,1100024
107931986,4624209,16535562,4104705,3100840,2100152,1100024
111538919,3972645,1238956,4105324,3100930,2100179,1100005
122236133,5674424,22524757,4105647,3100952,2100184,1100030
