did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100007834,4068410,17939164,4104260,3100751,2100134,1100022
100007834,350791,1794597,4104260,3100751,2100134,1100022
100007834,220163,21918333,4104260,3100751,2100134,1100022
100593936,2979120,9183390,4101592,3100303,2100046,1100009
100593936,2167890,13733319,4101592,3100303,2100046,1100009
100728748,2067491,13350092,4105200,3100215,2100028,1100005
100728748,2143410,3904744,4105200,3100215,2100028,1100005
100728748,2512894,5378261,4105200,3100215,2100028,1100005
100728748,2286735,10190321,4105200,3100215,2100028,1100005
100728748,2161168,8709556,4105200,3100215,2100028,1100005
100728748,1807832,12004069,4105200,3100215,2100028,1100005
100728748,2135797,11429973,4105200,3100215,2100028,1100005
100728748,1941114,4179650,4105200,3100215,2100028,1100005
100728748,2048610,7218572,4105200,3100215,2100028,1100005
100728748,2589292,2374995,4105200,3100215,2100028,1100005
100728748,1889038,13370691,4105200,3100215,2100028,1100005
100728748,1396570,2670923,4105200,3100215,2100028,1100005
100728748,2160743,12646304,4105200,3100215,2100028,1100005
100728748,2057195,9920320,4105200,3100215,2100028,1100005
100728748,1995655,6882061,4105200,3100215,2100028,1100005
100728748,2104663,1708011,4105200,3100215,2100028,1100005
100728748,2337821,3401195,4105200,3100215,2100028,1100005
100728748,2240446,19657854,4105200,3100215,2100028,1100005
100728748,2431758,11572215,4105200,3100215,2100028,1100005
100728748,2352747,3030014,4105200,3100215,2100028,1100005
100728748,2458830,3120387,4105200,3100215,2100028,1100005
100728748,2203267,7627017,4105200,3100215,2100028,1100005
100728748,2914212,7902141,4105200,3100215,2100028,1100005
100728748,2195706,4076658,4105200,3100215,2100028,1100005
100728748,2126975,1920392,4105200,3100215,2100028,1100005
100728748,2283149,4317491,4105200,3100215,2100028,1100005
100728748,2244335,2781217,4105200,3100215,2100028,1100005
100728748,2002073,12251422,4105200,3100215,2100028,1100005
100728748,1624441,19227011,4105200,3100215,2100028,1100005
100728748,2609795,10014632,4105200,3100215,2100028,1100005
100728748,2163542,6040630,4105200,3100215,2100028,1100005
100728748,2204193,3051479,4105200,3100215,2100028,1100005
100728748,2221211,4129914,4105200,3100215,2100028,1100005
100728748,1680877,19306573,4105200,3100215,2100028,1100005
100728748,2189926,12398968,4105200,3100215,2100028,1100005
100728748,2186484,7834504,4105200,3100215,2100028,1100005
100728748,2244485,8618731,4105200,3100215,2100028,1100005
100728748,2251031,18642058,4105200,3100215,2100028,1100005
100728748,2310207,13528112,4105200,3100215,2100028,1100005
100728748,2626330,24439329,4105200,3100215,2100028,1100005
100728748,2476521,23618972,4105200,3100215,2100028,1100005
100728748,1946239,8227992,4105200,3100215,2100028,1100005
100728748,1679093,10083603,4105200,3100215,2100028,1100005
100728748,1902826,22941604,4105200,3100215,2100028,1100005
100728748,2551106,11572215,4105200,3100215,2100028,1100005
101749857,6002051,2342835,4100981,3100191,2100025,1100005
115682785,4418829,3152151,4105647,3100952,2100184,1100030
120287028,4876879,16107768,4105447,3100934,2100181,1100005
122182960,5975403,4336414,4105447,3100934,2100181,1100005
