did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100727927,2720839,7863203,4105198,3100210,2100028,1100005
100727927,1424600,13855258,4105198,3100210,2100028,1100005
100727927,4117654,19576810,4105198,3100210,2100028,1100005
100727927,3224080,1093387,4105198,3100210,2100028,1100005
100727927,1806942,24358117,4105198,3100210,2100028,1100005
100727927,1779952,20110405,4105198,3100210,2100028,1100005
100727927,2439791,10101994,4105198,3100210,2100028,1100005
109664842,4072437,25574615,4105324,3100930,2100179,1100005
110626998,4365068,9738940,4105647,3100952,2100184,1100030
114136328,4335235,7856991,4100977,3100191,2100025,1100005
116803941,5034605,4901133,4105647,3100952,2100184,1100030
116896870,4938578,13766238,4105647,3100952,2100184,1100030
122080736,5546638,23234999,4104705,3100840,2100152,1100024
