did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100165988,302184,2989224,4103863,3100683,2100119,1100017
100165988,284449,13697640,4103863,3100683,2100119,1100017
100165988,284967,11487193,4103863,3100683,2100119,1100017
100165988,284957,11487193,4103863,3100683,2100119,1100017
100165988,284776,21474679,4103863,3100683,2100119,1100017
109690199,4318227,13968253,4105320,3100930,2100179,1100005
109714583,4772889,0,4105647,3100952,2100184,1100030
111343532,3835864,12615433,4105373,3100970,2100180,1100005
