did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
101858749,2385881,4547078,4100951,3100186,2100024,1100005
101858749,2345010,2548970,4100951,3100186,2100024,1100005
101858749,2797673,4153410,4100951,3100186,2100024,1100005
101858749,2447360,25111809,4100951,3100186,2100024,1100005
101858749,2926085,8275545,4100951,3100186,2100024,1100005
101858749,2925468,8275545,4100951,3100186,2100024,1100005
101858749,2347197,3030064,4100951,3100186,2100024,1100005
101858749,2344277,4016184,4100951,3100186,2100024,1100005
101858749,2845279,8275545,4100951,3100186,2100024,1100005
101858749,2797531,4153410,4100951,3100186,2100024,1100005
101858749,2343847,17335951,4100951,3100186,2100024,1100005
101858749,2345190,4547078,4100951,3100186,2100024,1100005
101858749,2370679,11540182,4100951,3100186,2100024,1100005
101858749,2344841,1510168,4100951,3100186,2100024,1100005
114084807,4335233,7856991,4100977,3100191,2100025,1100005
116520281,6084512,12546395,4100977,3100191,2100025,1100005
