did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
2547754,709023720,4935012,233090602,233090600,233090000,233000000
2547754,694407000,13205367,233090602,233090600,233090000,233000000
2547754,784760249,7593289,233090602,233090600,233090000,233000000
2547754,756990364,10341092,233090602,233090600,233090000,233000000
2547754,681458073,5198545,233090602,233090600,233090000,233000000
2547754,766770508,24291559,233090602,233090600,233090000,233000000
2547754,708965167,6681777,233090602,233090600,233090000,233000000
100759487,1488187,6804312,4101043,3100200,2100025,1100005
121013011,5213427,25881051,4105324,3100930,2100179,1100005
100349831,3856666,24117845,4104260,3100751,2100134,1100022
100349831,5298476,5161722,4104260,3100751,2100134,1100022
100349831,4068406,17939164,4104260,3100751,2100134,1100022
115681632,4532005,12142838,4105447,3100934,2100181,1100005
116455728,4427927,1118635,4105373,3100970,2100180,1100005
116655992,5430971,18001516,4104705,3100840,2100152,1100024
120341671,4961869,20088750,4105320,3100930,2100179,1100005
123022604,6028441,0,4105426,3100979,2100180,1100005
100651440,5739342,22778917,4101592,3100303,2100046,1100009
100758992,1515344,4217218,4101043,3100200,2100025,1100005
100758992,4562378,8001224,4101043,3100200,2100025,1100005
100758992,2306256,7770773,4101043,3100200,2100025,1100005
100758992,3323965,3108290,4101043,3100200,2100025,1100005
100758992,1373726,24136028,4101043,3100200,2100025,1100005
110482560,5628546,26010771,4105320,3100930,2100179,1100005
116454099,4316806,4765928,4105524,3100945,2100182,1100005
116895756,4518391,6632780,4105426,3100979,2100180,1100005
2423227,781876596,25592647,233090602,233090600,233090000,233000000
2423227,719954053,4104862,233090602,233090600,233090000,233000000
100166148,284416,13697640,4103863,3100683,2100119,1100017
100166148,315386,1528991,4103863,3100683,2100119,1100017
100166148,2757376,7421222,4103863,3100683,2100119,1100017
100166148,280078,15221000,4103863,3100683,2100119,1100017
100166148,5680993,1062030,4103863,3100683,2100119,1100017
100166148,4800783,9982724,4103863,3100683,2100119,1100017
100166148,5917493,1062030,4103863,3100683,2100119,1100017
100166148,5917535,1062030,4103863,3100683,2100119,1100017
100166148,347895,5566621,4103863,3100683,2100119,1100017
100592070,3648867,7667845,4101592,3100303,2100046,1100009
101018369,2384455,10811343,4105198,3100210,2100028,1100005
116898470,5077068,8650893,4105320,3100930,2100179,1100005
100008134,108646,16103216,4104260,3100751,2100134,1100022
100008134,321318,11875653,4104260,3100751,2100134,1100022
100008134,2919983,2828535,4104260,3100751,2100134,1100022
101749819,3349317,3382887,4100981,3100191,2100025,1100005
112478221,4007657,2316004,4105320,3100930,2100179,1100005
110076762,3455574,6759944,4104705,3100840,2100152,1100024
110076762,3457446,1258330,4104705,3100840,2100152,1100024
110076762,3456470,4367387,4104705,3100840,2100152,1100024
110076762,3459399,8624575,4104705,3100840,2100152,1100024
110076762,3457011,2726246,4104705,3100840,2100152,1100024
110076762,3458087,12436659,4104705,3100840,2100152,1100024
110076762,3456604,2726246,4104705,3100840,2100152,1100024
110076762,3458726,1613588,4104705,3100840,2100152,1100024
110076762,3459483,22106275,4104705,3100840,2100152,1100024
110076762,3456014,2726246,4104705,3100840,2100152,1100024
110076762,3459134,22815597,4104705,3100840,2100152,1100024
110076762,3458002,1258330,4104705,3100840,2100152,1100024
110076762,3456766,1258330,4104705,3100840,2100152,1100024
110076762,3457003,4367387,4104705,3100840,2100152,1100024
110076762,3458415,12436659,4104705,3100840,2100152,1100024
110076762,3459746,12436659,4104705,3100840,2100152,1100024
110076762,3458733,1258330,4104705,3100840,2100152,1100024
110076762,3459275,1258330,4104705,3100840,2100152,1100024
110076762,3455922,2726246,4104705,3100840,2100152,1100024
110076762,3458739,22106275,4104705,3100840,2100152,1100024
110076762,3458801,22108588,4104705,3100840,2100152,1100024
110076762,3459316,1613588,4104705,3100840,2100152,1100024
110076762,3457440,8624575,4104705,3100840,2100152,1100024
110076762,3456776,4367387,4104705,3100840,2100152,1100024
110076762,3458464,1613588,4104705,3100840,2100152,1100024
110076762,3456177,6759944,4104705,3100840,2100152,1100024
110076762,3458294,22108588,4104705,3100840,2100152,1100024
110076762,3456952,1794394,4104705,3100840,2100152,1100024
110076762,3459110,19605542,4104705,3100840,2100152,1100024
110076762,3457765,2726246,4104705,3100840,2100152,1100024
110076762,3459719,6406020,4104705,3100840,2100152,1100024
110076762,3459330,6406020,4104705,3100840,2100152,1100024
110076762,3456104,1794394,4104705,3100840,2100152,1100024
110076762,3456934,1258330,4104705,3100840,2100152,1100024
110076762,3458791,22815597,4104705,3100840,2100152,1100024
110076762,3459431,12436659,4104705,3100840,2100152,1100024
110076762,3455431,4367387,4104705,3100840,2100152,1100024
110076762,3457949,6716914,4104705,3100840,2100152,1100024
110076762,3458225,22815597,4104705,3100840,2100152,1100024
110076762,3458425,12882129,4104705,3100840,2100152,1100024
110076762,3457092,1794394,4104705,3100840,2100152,1100024
110076762,3456645,2726246,4104705,3100840,2100152,1100024
110076762,3458494,4367387,4104705,3100840,2100152,1100024
110076762,3458147,3018772,4104705,3100840,2100152,1100024
110076762,3459734,22815597,4104705,3100840,2100152,1100024
110076762,3459161,1613588,4104705,3100840,2100152,1100024
110076762,3456399,4367387,4104705,3100840,2100152,1100024
110076762,3458275,8624575,4104705,3100840,2100152,1100024
110076762,3455693,6759944,4104705,3100840,2100152,1100024
110076762,3459422,22108588,4104705,3100840,2100152,1100024
110076762,3456091,2726246,4104705,3100840,2100152,1100024
110076762,3459717,4367387,4104705,3100840,2100152,1100024
110076762,3455579,4367387,4104705,3100840,2100152,1100024
110076762,3458423,22108588,4104705,3100840,2100152,1100024
110076762,3459174,22815597,4104705,3100840,2100152,1100024
110076762,3456743,1794394,4104705,3100840,2100152,1100024
110076762,3458489,22815597,4104705,3100840,2100152,1100024
110076762,3456549,2726246,4104705,3100840,2100152,1100024
110076762,3459285,1613588,4104705,3100840,2100152,1100024
110076762,3456557,1258330,4104705,3100840,2100152,1100024
110076762,3458480,22108588,4104705,3100840,2100152,1100024
110076762,3458741,22815597,4104705,3100840,2100152,1100024
110076762,3458991,8624575,4104705,3100840,2100152,1100024
110076762,3458037,1613588,4104705,3100840,2100152,1100024
110076762,3458246,12436659,4104705,3100840,2100152,1100024
110076762,3457927,1258330,4104705,3100840,2100152,1100024
110076762,3455548,4367387,4104705,3100840,2100152,1100024
110076762,3458473,12882129,4104705,3100840,2100152,1100024
110076762,3456418,6759944,4104705,3100840,2100152,1100024
110076762,3458913,3018772,4104705,3100840,2100152,1100024
110076762,3459648,11279826,4104705,3100840,2100152,1100024
110076762,3455323,2726246,4104705,3100840,2100152,1100024
110076762,3458171,1527119,4104705,3100840,2100152,1100024
110076762,3459671,22815597,4104705,3100840,2100152,1100024
110076762,3455449,2726246,4104705,3100840,2100152,1100024
110076762,3455874,6759944,4104705,3100840,2100152,1100024
110076762,3459783,10232026,4104705,3100840,2100152,1100024
110076762,3459348,8624575,4104705,3100840,2100152,1100024
110076762,3455528,6759944,4104705,3100840,2100152,1100024
110076762,3459205,1613588,4104705,3100840,2100152,1100024
110076762,3458621,12436659,4104705,3100840,2100152,1100024
110076762,3458765,22106275,4104705,3100840,2100152,1100024
110076762,3455752,4367387,4104705,3100840,2100152,1100024
110076762,3457676,2726246,4104705,3100840,2100152,1100024
110076762,3458184,6406020,4104705,3100840,2100152,1100024
110076762,3456988,6759944,4104705,3100840,2100152,1100024
110076762,3456335,4367387,4104705,3100840,2100152,1100024
110076762,3456729,6759944,4104705,3100840,2100152,1100024
110076762,3456632,4367387,4104705,3100840,2100152,1100024
110076762,3459630,11279826,4104705,3100840,2100152,1100024
