did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100008033,130463,3317875,4104260,3100751,2100134,1100022
100008033,180505,19207148,4104260,3100751,2100134,1100022
100008033,1414111,24276154,4104260,3100751,2100134,1100022
100008033,165576,3174412,4104260,3100751,2100134,1100022
100008033,208369,20082399,4104260,3100751,2100134,1100022
100008033,162252,4732354,4104260,3100751,2100134,1100022
100008033,208911,10297476,4104260,3100751,2100134,1100022
100258319,2473725,11586522,4102648,3100483,2100082,1100014
100258319,2473928,11586522,4102648,3100483,2100082,1100014
100258319,2473624,11586522,4102648,3100483,2100082,1100014
101006393,4640864,6548989,4100981,3100191,2100025,1100005
101018339,3198185,24530124,4105198,3100210,2100028,1100005
109654080,4566083,0,4105320,3100930,2100179,1100005
115866283,4264312,1535015,4105447,3100934,2100181,1100005
116711641,4382336,8445379,4105320,3100930,2100179,1100005
117347289,4656723,20487222,4104705,3100840,2100152,1100024
121480256,5972661,6529998,4101785,3100341,2100056,1100010
