did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100007737,920192,11894100,4104260,3100751,2100134,1100022
100007737,2453604,2426251,4104260,3100751,2100134,1100022
100007737,267513,13730400,4104260,3100751,2100134,1100022
100122985,2388553,2379253,4100977,3100191,2100025,1100005
100122985,3431497,16454024,4100977,3100191,2100025,1100005
101006397,4640977,6548989,4100981,3100191,2100025,1100005
101018319,3201622,13348477,4105198,3100210,2100028,1100005
101987140,2712360,3012318,4101093,3100206,2100026,1100005
101987140,2719381,4230834,4101093,3100206,2100026,1100005
101987140,2670393,13368974,4101093,3100206,2100026,1100005
101987140,2717106,1375406,4101093,3100206,2100026,1100005
101987140,2711369,5227362,4101093,3100206,2100026,1100005
101987140,2719773,2624110,4101093,3100206,2100026,1100005
101987140,2713344,4520376,4101093,3100206,2100026,1100005
101987140,2712423,14477020,4101093,3100206,2100026,1100005
101987140,2680544,5042045,4101093,3100206,2100026,1100005
101987140,2775186,1413849,4101093,3100206,2100026,1100005
101987140,2721167,7049210,4101093,3100206,2100026,1100005
101987140,2667301,10300188,4101093,3100206,2100026,1100005
101987140,2719238,4579125,4101093,3100206,2100026,1100005
101987140,2717142,1506785,4101093,3100206,2100026,1100005
101987140,2720050,4410295,4101093,3100206,2100026,1100005
101987140,2673571,4221419,4101093,3100206,2100026,1100005
101987140,2794624,10643965,4101093,3100206,2100026,1100005
101987140,2810756,1072484,4101093,3100206,2100026,1100005
101987140,2701092,7863034,4101093,3100206,2100026,1100005
101987140,2678144,8798163,4101093,3100206,2100026,1100005
101987140,2746425,9704988,4101093,3100206,2100026,1100005
101987140,2659082,3175989,4101093,3100206,2100026,1100005
101987140,2718499,2891359,4101093,3100206,2100026,1100005
101987140,2728076,2567134,4101093,3100206,2100026,1100005
101987140,2720540,4119257,4101093,3100206,2100026,1100005
101987140,2712873,3030099,4101093,3100206,2100026,1100005
101987140,2673197,1181613,4101093,3100206,2100026,1100005
101987140,2766786,2339793,4101093,3100206,2100026,1100005
101987140,2662429,14857576,4101093,3100206,2100026,1100005
101987140,2663428,4590084,4101093,3100206,2100026,1100005
101987140,2695886,3183672,4101093,3100206,2100026,1100005
101987140,2713518,1570058,4101093,3100206,2100026,1100005
101987140,2781563,13693392,4101093,3100206,2100026,1100005
101987140,2800614,5447307,4101093,3100206,2100026,1100005
101987140,2722689,18789805,4101093,3100206,2100026,1100005
101987140,2716684,1703791,4101093,3100206,2100026,1100005
101987140,2737109,7119337,4101093,3100206,2100026,1100005
101987140,2718653,1074999,4101093,3100206,2100026,1100005
