did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100008217,4048631,23732956,4104260,3100751,2100134,1100022
100008217,3140732,22287507,4104260,3100751,2100134,1100022
100008217,1816968,3597760,4104260,3100751,2100134,1100022
100008217,162251,4732354,4104260,3100751,2100134,1100022
100008217,318166,1081770,4104260,3100751,2100134,1100022
100008217,4309341,14243330,4104260,3100751,2100134,1100022
100008217,4018219,16111380,4104260,3100751,2100134,1100022
100008217,3650544,7060040,4104260,3100751,2100134,1100022
100428747,913895,3782681,4101093,3100206,2100026,1100005
101548737,5772848,9448759,4101363,3100259,2100035,1100006
101548737,5704695,9448759,4101363,3100259,2100035,1100006
101548737,3723615,5803360,4101363,3100259,2100035,1100006
116365495,4884397,22256199,4104705,3100840,2100152,1100024
116365495,4816347,22988333,4104705,3100840,2100152,1100024
119950957,4872095,2751389,4105647,3100952,2100184,1100030
121109473,6074484,4314102,4104705,3100840,2100152,1100024
121385988,5474158,25902493,4105426,3100979,2100180,1100005
