did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
2959193,754632467,7015144,233090602,233090600,233090000,233000000
100007916,162246,4732354,4104260,3100751,2100134,1100022
100007916,5921040,4046852,4104260,3100751,2100134,1100022
100007916,3922023,19940226,4104260,3100751,2100134,1100022
100721263,2120712,0,4101592,3100303,2100046,1100009
100721263,2812042,3899614,4101592,3100303,2100046,1100009
101448340,1965518,4299895,4100981,3100191,2100025,1100005
101987061,2764477,1231939,4101093,3100206,2100026,1100005
101987061,2872220,2484027,4101093,3100206,2100026,1100005
101987061,2715166,7005449,4101093,3100206,2100026,1100005
101987061,2767836,1411387,4101093,3100206,2100026,1100005
101987061,2714294,1213371,4101093,3100206,2100026,1100005
101987061,2677665,11826123,4101093,3100206,2100026,1100005
101987061,2708575,3885822,4101093,3100206,2100026,1100005
101987061,2714370,6892967,4101093,3100206,2100026,1100005
101987061,2929683,1691798,4101093,3100206,2100026,1100005
101987061,2716844,3148228,4101093,3100206,2100026,1100005
101987061,2743029,1411848,4101093,3100206,2100026,1100005
101987061,2717946,5397324,4101093,3100206,2100026,1100005
101987061,2714514,2410074,4101093,3100206,2100026,1100005
101987061,2711042,1409782,4101093,3100206,2100026,1100005
101987061,2727336,1074999,4101093,3100206,2100026,1100005
101987061,2718654,1074999,4101093,3100206,2100026,1100005
101987061,2680526,7027575,4101093,3100206,2100026,1100005
101987061,2718428,11312570,4101093,3100206,2100026,1100005
101987061,2660296,1982348,4101093,3100206,2100026,1100005
101987061,2717921,1160664,4101093,3100206,2100026,1100005
101987061,2759178,13591464,4101093,3100206,2100026,1100005
101987061,2711473,4647682,4101093,3100206,2100026,1100005
101987061,2665521,1397776,4101093,3100206,2100026,1100005
101987061,2819038,8616280,4101093,3100206,2100026,1100005
101987061,2715486,3463678,4101093,3100206,2100026,1100005
101987061,2663900,1687718,4101093,3100206,2100026,1100005
101987061,2651086,3978633,4101093,3100206,2100026,1100005
101987061,2712384,6983949,4101093,3100206,2100026,1100005
101987061,2713134,7356572,4101093,3100206,2100026,1100005
101987061,2818820,3114913,4101093,3100206,2100026,1100005
101987061,2665542,7730570,4101093,3100206,2100026,1100005
101987061,2717191,1630967,4101093,3100206,2100026,1100005
101987061,2721505,1012750,4101093,3100206,2100026,1100005
101987061,2713552,9740853,4101093,3100206,2100026,1100005
101987061,2775973,4210773,4101093,3100206,2100026,1100005
101987061,2712874,3030099,4101093,3100206,2100026,1100005
101987061,2659827,1782125,4101093,3100206,2100026,1100005
101987061,2718337,10619496,4101093,3100206,2100026,1100005
101987061,2656499,1774122,4101093,3100206,2100026,1100005
101987061,2768406,1076718,4101093,3100206,2100026,1100005
101987061,2669006,9094819,4101093,3100206,2100026,1100005
101987061,2674707,3215023,4101093,3100206,2100026,1100005
101987061,2775187,1413849,4101093,3100206,2100026,1100005
101987061,2714034,5290534,4101093,3100206,2100026,1100005
101987061,2716649,7894319,4101093,3100206,2100026,1100005
