did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
2913495,705168029,4084549,233090602,233090600,233090000,233000000
2913495,760328317,2358419,233090602,233090600,233090000,233000000
2913495,680256831,8719068,233090602,233090600,233090000,233000000
2913495,689274891,19926592,233090602,233090600,233090000,233000000
2913495,702858927,22428927,233090602,233090600,233090000,233000000
2913495,786236332,12139749,233090602,233090600,233090000,233000000
2913495,683334899,5664780,233090602,233090600,233090000,233000000
2913495,795601032,1051300,233090602,233090600,233090000,233000000
100008191,1389646,24276154,4104260,3100751,2100134,1100022
100008191,1414114,24276154,4104260,3100751,2100134,1100022
100758681,3224753,25287361,4101043,3100200,2100025,1100005
100758681,1364191,14271911,4101043,3100200,2100025,1100005
100758681,2525878,9734894,4101043,3100200,2100025,1100005
100758681,3323964,3108290,4101043,3100200,2100025,1100005
100758681,2983609,2081855,4101043,3100200,2100025,1100005
100758681,1300367,1539711,4101043,3100200,2100025,1100005
109657542,5179782,4282020,4105447,3100934,2100181,1100005
111856377,5477692,9904596,4105320,3100930,2100179,1100005
112473408,3825623,4083844,4105524,3100945,2100182,1100005
112821668,4118809,14276676,4105320,3100930,2100179,1100005
116804354,4365069,9738940,4105647,3100952,2100184,1100030
