did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100008216,4675350,3245892,4104260,3100751,2100134,1100022
100008216,3650543,7060040,4104260,3100751,2100134,1100022
100008216,1816965,3597760,4104260,3100751,2100134,1100022
100008216,5921038,4046852,4104260,3100751,2100134,1100022
100008216,318165,1081770,4104260,3100751,2100134,1100022
100426248,2277751,13555714,4101093,3100206,2100026,1100005
100727950,2496278,25171118,4105198,3100210,2100028,1100005
120112120,5095502,6883449,4105320,3100930,2100179,1100005
