did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100007831,3051129,4409610,4104260,3100751,2100134,1100022
100007831,2937303,1428989,4104260,3100751,2100134,1100022
100007831,3627570,6897098,4104260,3100751,2100134,1100022
100007831,4760919,1548874,4104260,3100751,2100134,1100022
100007831,4309340,14243330,4104260,3100751,2100134,1100022
100007831,165185,21986603,4104260,3100751,2100134,1100022
100007831,3650548,7060040,4104260,3100751,2100134,1100022
100007831,3858953,19430506,4104260,3100751,2100134,1100022
100007831,4854838,13947123,4104260,3100751,2100134,1100022
100007831,2752780,16197561,4104260,3100751,2100134,1100022
100007831,3627790,6897098,4104260,3100751,2100134,1100022
100007831,162247,4732354,4104260,3100751,2100134,1100022
100007831,165579,3174412,4104260,3100751,2100134,1100022
100007831,480643,6712897,4104260,3100751,2100134,1100022
100494571,1805679,7531397,4105198,3100210,2100028,1100005
102003601,4354837,12158416,4101592,3100303,2100046,1100009
102003601,5407213,3582496,4101592,3100303,2100046,1100009
108799527,4913554,5413658,4105200,3100215,2100028,1100005
108799527,4212369,6530983,4105200,3100215,2100028,1100005
121893769,5411753,8109410,4101043,3100200,2100025,1100005
121893769,5466448,22658403,4101043,3100200,2100025,1100005
