did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100088756,269068,20668801,4104260,3100751,2100134,1100022
100088756,272551,21647896,4104260,3100751,2100134,1100022
100088756,235887,24642057,4104260,3100751,2100134,1100022
100088756,229735,2472564,4104260,3100751,2100134,1100022
100088756,208368,20082399,4104260,3100751,2100134,1100022
100088756,303252,18136001,4104260,3100751,2100134,1100022
100088756,180507,19207148,4104260,3100751,2100134,1100022
100279438,591161,5994348,4102648,3100483,2100082,1100014
101749782,6002131,2342835,4100981,3100191,2100025,1100005
117464436,4589271,19181443,4105373,3100970,2100180,1100005
