did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
3016240,697298805,1567312,233090602,233090600,233090000,233000000
3016240,683149015,23336576,233090602,233090600,233090000,233000000
3016240,723590935,11257254,233090602,233090600,233090000,233000000
3016240,687666330,4313660,233090602,233090600,233090000,233000000
3016240,680133067,14482661,233090602,233090600,233090000,233000000
100386378,6080407,5704062,4100981,3100191,2100025,1100005
100907530,3769199,0,4100951,3100186,2100024,1100005
100907530,2200361,8042689,4100951,3100186,2100024,1100005
100907530,3768879,14784078,4100951,3100186,2100024,1100005
100907530,3768799,14784078,4100951,3100186,2100024,1100005
100907530,3769034,0,4100951,3100186,2100024,1100005
113186831,4231631,4288127,4105320,3100930,2100179,1100005
